,city,date,district,building state,main use,total floor number
7682,新北市,2013-08-25,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
7685,新北市,2013-09-01,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
9771,新北市,2013-09-01,淡水區,住宅大樓(11層含以上有電梯),住家用,27
7684,新北市,2013-09-02,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
12482,新北市,2013-09-03,淡水區,住宅大樓(11層含以上有電梯),住家用,27
12475,新北市,2013-09-03,淡水區,住宅大樓(11層含以上有電梯),住家用,27
10910,新北市,2013-09-03,淡水區,住宅大樓(11層含以上有電梯),住家用,29
7683,新北市,2013-09-03,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
9766,新北市,2013-09-03,淡水區,住宅大樓(11層含以上有電梯),住家用,27
16560,新北市,2013-09-06,淡水區,住宅大樓(11層含以上有電梯),住家用,27
14040,新北市,2013-09-10,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
5757,新北市,2013-09-11,淡水區,住宅大樓(11層含以上有電梯),住家用,27
13079,新北市,2013-09-12,淡水區,住宅大樓(11層含以上有電梯),住家用,27
7726,新北市,2013-09-12,淡水區,住宅大樓(11層含以上有電梯),住家用,27
12909,新北市,2013-09-20,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11580,新北市,2013-09-26,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
9563,新北市,2013-09-27,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
7721,新北市,2013-09-28,淡水區,住宅大樓(11層含以上有電梯),見其他登記事項,29
7686,新北市,2013-09-28,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
7494,新北市,2013-09-29,淡水區,住宅大樓(11層含以上有電梯),住家用,29
9572,新北市,2013-09-29,淡水區,住宅大樓(11層含以上有電梯),住家用,29
12887,新北市,2013-09-30,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
12245,新北市,2013-10-02,三重區,住宅大樓(11層含以上有電梯),見其他登記事項,13
9583,新北市,2013-10-08,淡水區,住宅大樓(11層含以上有電梯),住家用,29
11584,新北市,2013-10-08,淡水區,其他,,0
5755,新北市,2013-10-14,淡水區,住宅大樓(11層含以上有電梯),住家用,20
